iter	Passed	Remaining
0	77	23051
1	159	23763
2	234	23218
3	310	22988
4	387	22887
5	461	22589
6	536	22452
7	609	22238
8	685	22161
9	766	22231
10	846	22250
11	923	22159
12	997	22024
13	1072	21917
14	1153	21923
15	1227	21784
16	1310	21823
17	1381	21645
18	1454	21507
19	1533	21463
20	1607	21361
21	1695	21427
22	1782	21473
23	1861	21410
24	1939	21336
25	2016	21254
26	2096	21194
27	2171	21095
28	2250	21028
29	2328	20955
30	2405	20874
31	2486	20828
32	2567	20770
33	2645	20694
34	2717	20574
35	2797	20514
36	2874	20435
37	2945	20311
38	3021	20221
39	3103	20172
40	3182	20101
41	3262	20041
42	3335	19936
43	3414	19864
44	3486	19757
45	3569	19708
46	3642	19607
47	3713	19496
48	3805	19495
49	3893	19468
50	3969	19380
51	4050	19318
52	4129	19243
53	4208	19170
54	4290	19113
55	4372	19049
56	4447	18960
57	4526	18886
58	4605	18810
59	4677	18709
60	4751	18615
61	4821	18509
62	4899	18431
63	5030	18548
64	5122	18520
65	5199	18434
66	5281	18365
67	5353	18266
68	5431	18183
69	5509	18103
70	5582	18006
71	5658	17918
72	5738	17844
73	5813	17755
74	5898	17695
75	5991	17659
76	6067	17571
77	6146	17493
78	6224	17414
79	6301	17329
80	6382	17256
81	6460	17176
82	6541	17101
83	6619	17020
84	6694	16932
85	6776	16862
86	6849	16768
87	6929	16692
88	7004	16606
89	7080	16521
90	7160	16446
91	7234	16355
92	7313	16278
93	7388	16192
94	7468	16116
95	7544	16031
96	7622	15952
97	7700	15873
98	7777	15791
99	7853	15707
100	7933	15631
101	8020	15568
102	8112	15515
103	8187	15430
104	8263	15346
105	8338	15261
106	8415	15179
107	8491	15096
108	8563	15006
109	8640	14924
110	8714	14838
111	8791	14757
112	8867	14674
113	8944	14593
114	9031	14528
115	9101	14436
116	9179	14357
117	9250	14267
118	9325	14184
119	9404	14106
120	9487	14034
121	9564	13954
122	9641	13874
123	9719	13795
124	9795	13714
125	9871	13631
126	9942	13543
127	10018	13462
128	10097	13384
129	10192	13329
130	10272	13251
131	10348	13170
132	10426	13092
133	10498	13005
134	10577	12927
135	10656	12850
136	10733	12769
137	10807	12686
138	10887	12610
139	10959	12525
140	11033	12441
141	11104	12356
142	11177	12271
143	11253	12191
144	11330	12112
145	11403	12028
146	11482	11951
147	11558	11870
148	11634	11790
149	11707	11707
150	11783	11627
151	11862	11550
152	11937	11469
153	12016	11392
154	12090	11310
155	12174	11238
156	12246	11154
157	12339	11089
158	12420	11014
159	12502	10939
160	12584	10864
161	12663	10787
162	12742	10709
163	12823	10634
164	12901	10555
165	12973	10472
166	13049	10392
167	13124	10312
168	13203	10234
169	13278	10154
170	13350	10071
171	13429	9994
172	13505	9914
173	13582	9835
174	13662	9758
175	13743	9682
176	13822	9605
177	13900	9526
178	13975	9447
179	14054	9369
180	14135	9293
181	14214	9215
182	14296	9140
183	14379	9065
184	14469	8994
185	14549	8917
186	14624	8837
187	14701	8758
188	14777	8678
189	14859	8603
190	14932	8521
191	15007	8441
192	15087	8364
193	15162	8284
194	15243	8207
195	15324	8131
196	15393	8048
197	15475	7972
198	15554	7894
199	15631	7815
200	15709	7737
201	15787	7659
202	15875	7585
203	15959	7510
204	16041	7433
205	16122	7356
206	16210	7283
207	16295	7207
208	16382	7132
209	16460	7054
210	16553	6982
211	16637	6906
212	16711	6825
213	16779	6743
214	16862	6666
215	16944	6589
216	17031	6514
217	17112	6436
218	17197	6360
219	17273	6281
220	17353	6203
221	17439	6127
222	17520	6049
223	17594	5969
224	17675	5891
225	17757	5814
226	17837	5736
227	17913	5656
228	17988	5577
229	18067	5498
230	18142	5419
231	18210	5337
232	18290	5259
233	18373	5182
234	18476	5110
235	18581	5039
236	18683	4966
237	18781	4892
238	18875	4817
239	18952	4738
240	19032	4659
241	19106	4579
242	19186	4500
243	19263	4421
244	19345	4342
245	19422	4263
246	19497	4183
247	19581	4105
248	19667	4028
249	19760	3952
250	19836	3872
251	19904	3791
252	19980	3711
253	20057	3632
254	20137	3553
255	20215	3474
256	20295	3395
257	20370	3316
258	20447	3236
259	20529	3158
260	20617	3080
261	20698	3002
262	20797	2925
263	20880	2847
264	20959	2768
265	21034	2688
266	21116	2609
267	21194	2530
268	21356	2461
269	21458	2384
270	21547	2305
271	21624	2226
272	21697	2145
273	21773	2066
274	21851	1986
275	21931	1907
276	22008	1827
277	22102	1749
278	22209	1671
279	22307	1593
280	22394	1514
281	22475	1434
282	22563	1355
283	22648	1275
284	22742	1196
285	22837	1117
286	22940	1039
287	23036	959
288	23130	880
289	23222	800
290	23320	721
291	23412	641
292	23502	561
293	23681	483
294	23788	403
295	23885	322
296	23986	242
297	24089	161
298	24188	80
299	24278	0
