iter	Logloss
0	0.5236561256
1	0.4207253959
2	0.3653315074
3	0.3276042962
4	0.3062327241
5	0.2881327475
6	0.2777361431
7	0.2685391174
8	0.2583550057
9	0.2526811188
10	0.2396341849
11	0.2347508767
12	0.2309759821
13	0.2232801477
14	0.2208347602
15	0.2179862664
16	0.2148006337
17	0.2125540825
18	0.2102272199
19	0.2083646145
20	0.2064982416
21	0.2035805361
22	0.2020338275
23	0.2001605642
24	0.1981940129
25	0.1965323042
26	0.1936150712
27	0.1924533147
28	0.1899984257
29	0.1888190579
30	0.1877288316
31	0.1865136174
32	0.1853654894
33	0.1838217757
34	0.1828375021
35	0.1820784965
36	0.1811327828
37	0.1793731237
38	0.17872992
39	0.1778394957
40	0.177029689
41	0.1763715414
42	0.1756077918
43	0.1748866184
44	0.1742334512
45	0.1735421225
46	0.1723974297
47	0.1720308679
48	0.1717814298
49	0.1712869941
50	0.1705557785
51	0.1699033128
52	0.1692119437
53	0.1685098614
54	0.1671702814
55	0.1666047433
56	0.1661453465
57	0.165560189
58	0.1650265358
59	0.1643502506
60	0.1638760048
61	0.1632275087
62	0.1627732422
63	0.1623321626
64	0.1619813674
65	0.1615507442
66	0.1610669214
67	0.1606107157
68	0.1602860454
69	0.1599064615
70	0.1595256778
71	0.1590941165
72	0.158623947
73	0.1583598734
74	0.158106195
75	0.1577537128
76	0.1573469489
77	0.1570580971
78	0.156658087
79	0.1559260975
80	0.1553226579
81	0.1549085135
82	0.1547509745
83	0.1543593794
84	0.1541160405
85	0.153863934
86	0.1535445139
87	0.1532002798
88	0.1528579176
89	0.1525938137
90	0.152420464
91	0.1521988628
92	0.1519442286
93	0.1517054259
94	0.1514319768
95	0.1512164989
96	0.151051011
97	0.1507452204
98	0.1505523072
99	0.1503568943
100	0.150029019
101	0.1498080855
102	0.1496837707
103	0.1494886351
104	0.1493192411
105	0.1490565548
106	0.1488681555
107	0.1487040316
108	0.1482955948
109	0.1481217035
110	0.1479661592
111	0.1477266656
112	0.1473717044
113	0.1472159454
114	0.1470717438
115	0.1468619014
116	0.1467048991
117	0.1464807777
118	0.1463048646
119	0.146097526
120	0.1459114382
121	0.1456816122
122	0.1454561701
123	0.1451602898
124	0.1449716411
125	0.1448231693
126	0.1446803529
127	0.1445252756
128	0.1443703956
129	0.1442219545
130	0.1440770934
131	0.1439496446
132	0.1434868771
133	0.1432074982
134	0.1430498261
135	0.142930963
136	0.1428013606
137	0.1426603604
138	0.1425425118
139	0.1424228408
140	0.1422778246
141	0.1421901716
142	0.1420430185
143	0.1419300717
144	0.1417834642
145	0.1416463051
146	0.1415173768
147	0.1413590702
148	0.1412168006
149	0.1410579926
150	0.1409086344
151	0.1407827113
152	0.140599299
153	0.140475397
154	0.1403655764
155	0.140261867
156	0.1401638445
157	0.1400726272
158	0.1400171705
159	0.1399086878
160	0.1397658831
161	0.1396604433
162	0.1395553217
163	0.139437357
164	0.1393595923
165	0.1392431322
166	0.1391185428
167	0.139007711
168	0.1389069587
169	0.1387873747
170	0.1386834367
171	0.1386046367
172	0.13848187
173	0.1383633358
174	0.1381659467
175	0.1380756865
176	0.1380033737
177	0.1378994629
178	0.1378180188
179	0.1377316974
180	0.1374687612
181	0.1372816655
182	0.137189713
183	0.1370459117
184	0.1369755884
185	0.1369070615
186	0.1368472745
187	0.136784889
188	0.1365770999
189	0.1364879616
190	0.1363947559
191	0.1363125437
192	0.1362546829
193	0.1361180515
194	0.136062676
195	0.1360068262
196	0.1359496752
197	0.1358604503
198	0.1357595812
199	0.1356716327
200	0.1355549384
201	0.1354229026
202	0.1353519377
203	0.1352443012
204	0.1351745447
205	0.1351004558
206	0.135020864
207	0.1349448515
208	0.1348548847
209	0.1347423638
210	0.1346718844
211	0.1346274794
212	0.1345410095
213	0.1344606848
214	0.1343864687
215	0.1343203045
216	0.1342673365
217	0.1342175388
218	0.13414776
219	0.1340839452
220	0.133998973
221	0.1338671493
222	0.1336439655
223	0.1335680594
224	0.1334877802
225	0.1334102494
226	0.1332542125
227	0.1331952024
228	0.1331380719
229	0.1330828777
230	0.1329747972
231	0.1329130812
232	0.1327448028
233	0.1326870746
234	0.1326339754
235	0.1325762144
236	0.1325211515
237	0.1324719919
238	0.1324098311
239	0.1323289903
240	0.1322579645
241	0.1321953384
242	0.1321025936
243	0.1320523857
244	0.1320089844
245	0.1319425789
246	0.1318492341
247	0.1317910289
248	0.1317407779
249	0.1316949915
250	0.1316136146
251	0.1315753497
252	0.1315323843
253	0.1314583588
254	0.1314253053
255	0.1313733394
256	0.1313328304
257	0.1312751586
258	0.1312206549
259	0.1311620923
260	0.1310970171
261	0.1310112377
262	0.1309736594
263	0.1309278842
264	0.1308864739
265	0.1308249997
266	0.130728024
267	0.1306754598
268	0.1306488799
269	0.1305252969
270	0.1304740191
271	0.1304207512
272	0.1303401609
