iter	Passed	Remaining
0	55	55301
1	115	57722
2	169	56427
3	227	56767
4	280	55872
5	373	61813
6	450	63861
7	519	64476
8	604	66598
9	671	66471
10	753	67759
11	842	69333
12	912	69260
13	983	69292
14	1045	68652
15	1112	68397
16	1199	69352
17	1273	69472
18	1345	69486
19	1448	70983
20	1517	70738
21	1589	70645
22	1700	72238
23	1779	72356
24	1853	72290
25	1918	71887
26	1985	71534
27	2051	71222
28	2113	70750
29	2178	70426
30	2254	70457
31	2315	70047
32	2385	69891
33	2456	69802
34	2525	69628
35	2587	69275
36	2664	69346
37	2739	69353
38	2828	69707
39	2934	70429
40	2992	69992
41	3056	69713
42	3128	69634
43	3194	69397
44	3247	68920
45	3300	68445
46	3351	67950
47	3404	67512
48	3458	67130
49	3512	66728
50	3570	66441
51	3629	66173
52	3684	65833
53	3738	65489
54	3797	65247
55	3881	65433
56	3952	65396
57	4017	65254
58	4075	65005
59	4153	65071
60	4216	64907
61	4279	64742
62	4344	64615
63	4409	64487
64	4472	64332
65	4538	64223
66	4598	64038
67	4661	63892
68	4715	63630
69	4774	63428
70	4830	63205
71	4882	62933
72	4951	62875
73	5014	62743
74	5079	62644
75	5143	62534
76	5207	62426
77	5270	62302
78	5332	62169
79	5400	62108
80	5497	62375
81	5573	62394
82	5688	62852
83	5766	62878
84	5821	62662
85	5875	62445
86	5934	62274
87	5987	62049
88	6044	61867
89	6099	61670
90	6161	61544
91	6214	61332
92	6271	61164
93	6330	61015
94	6390	60878
95	6447	60712
96	6501	60524
97	6555	60340
98	6618	60237
99	6675	60080
100	6734	59946
101	6795	59823
102	6861	59753
103	6929	59700
104	6988	59566
105	7046	59429
106	7105	59302
107	7161	59149
108	7218	59003
109	7279	58896
110	7342	58804
111	7405	58718
112	7471	58644
113	7547	58657
114	7629	58717
115	7690	58603
116	7750	58493
117	7809	58370
118	7867	58242
119	7922	58101
120	7990	58045
121	8047	57916
122	8101	57762
123	8160	57649
124	8216	57515
125	8277	57419
126	8333	57287
127	8390	57160
128	8450	57056
129	8506	56926
130	8563	56808
131	8620	56684
132	8678	56575
133	8736	56462
134	8792	56334
135	8847	56206
136	8904	56093
137	8963	55992
138	9023	55894
139	9080	55779
140	9136	55661
141	9197	55575
142	9259	55494
143	9319	55396
144	9380	55313
145	9435	55193
146	9489	55062
147	9550	54977
148	9604	54857
149	9664	54764
150	9718	54644
151	9776	54540
152	9832	54431
153	9887	54318
154	9947	54230
155	10003	54120
156	10062	54030
157	10121	53938
158	10177	53831
159	10231	53714
160	10294	53645
161	10350	53539
162	10406	53437
163	10465	53346
164	10525	53266
165	10582	53166
166	10637	53059
167	10693	52958
168	10753	52875
169	10810	52781
170	10870	52701
171	10925	52594
172	10985	52513
173	11039	52407
174	11096	52311
175	11151	52207
176	11204	52097
177	11260	51998
178	11319	51916
179	11377	51831
180	11441	51769
181	11498	51679
182	11559	51606
183	11617	51522
184	11676	51439
185	11732	51345
186	11781	51223
187	11840	51141
188	11895	51044
189	11952	50957
190	12008	50862
191	12064	50770
192	12124	50697
193	12183	50615
194	12242	50537
195	12298	50448
196	12375	50443
197	12445	50408
198	12507	50345
199	12569	50276
200	12635	50228
201	12699	50169
202	12768	50129
203	12840	50103
204	12909	50061
205	12973	50004
206	13045	49977
207	13131	50000
208	13195	49940
209	13255	49865
210	13324	49823
211	13389	49767
212	13446	49681
213	13532	49701
214	13593	49631
215	13652	49554
216	13717	49495
217	13783	49442
218	13843	49367
219	13915	49338
220	13974	49259
221	14039	49200
222	14108	49158
223	14182	49131
224	14250	49083
225	14333	49090
226	14396	49022
227	14467	48987
228	14541	48957
229	14610	48915
230	14682	48879
231	14754	48843
232	14827	48809
233	14907	48801
234	14991	48800
235	15055	48739
236	15114	48658
237	15187	48626
238	15247	48548
239	15307	48472
240	15460	48691
241	15543	48685
242	15614	48641
243	15684	48595
244	15750	48538
245	15812	48465
246	15877	48404
247	15945	48350
248	16018	48313
249	16084	48252
